"elimfilters_sku","source_sku","reason"
"EA55532","C24553/2","Duplicate (2 instances collapsed to 1)"
"EA57001","C24700/1","Duplicate (4 instances collapsed to 1)"
"EA54824","C24824","Duplicate (2 instances collapsed to 1)"
"EA54851","C2485/1","Duplicate (2 instances collapsed to 1)"
"EA54852","C2485/2","Duplicate (2 instances collapsed to 1)"
"EA59041","C24904/1","Duplicate (2 instances collapsed to 1)"
"EA55002","C25002","Duplicate (2 instances collapsed to 1)"
"EA55003","C25003","Duplicate (4 instances collapsed to 1)"
"EA55004","C25004","Duplicate (5 instances collapsed to 1)"
"EA55006","C25006","Duplicate (2 instances collapsed to 1)"
"EA55009","C25009","Duplicate (2 instances collapsed to 1)"
"EA55014","C25014","Duplicate (2 instances collapsed to 1)"
"EA55021","C25021","Duplicate (2 instances collapsed to 1)"
"EA51091","C25109/1","Duplicate (2 instances collapsed to 1)"
"EA55111","C25111","Duplicate (2 instances collapsed to 1)"
"EA55118","C25118","Duplicate (2 instances collapsed to 1)"
"EA55126","C25126","Duplicate (2 instances collapsed to 1)"
"EA55150","C25150","Duplicate (2 instances collapsed to 1)"
"EA52559","C2559","Duplicate (2 instances collapsed to 1)"
"EA57103","C25710/3","Duplicate (2 instances collapsed to 1)"
"EA57301","C25730/1","Duplicate (2 instances collapsed to 1)"
"EA58601","C25860/1","Duplicate (2 instances collapsed to 1)"
"EA58603","C25860/3","Duplicate (2 instances collapsed to 1)"
"EA56003","C26003","Duplicate (3 instances collapsed to 1)"
"EA56008","C26008","Duplicate (3 instances collapsed to 1)"
"EA56010","C26010","Duplicate (5 instances collapsed to 1)"
"EA56021","C26021","Duplicate (2 instances collapsed to 1)"
"EA56023","C26023","Duplicate (2 instances collapsed to 1)"
"EA56024","C26024","Duplicate (2 instances collapsed to 1)"
"EA56028","C26028","Duplicate (2 instances collapsed to 1)"
"EA56031","C26031X","Duplicate (2 instances collapsed to 1)"
"EA52610","C2610","Duplicate (2 instances collapsed to 1)"
"EA51101","C26110/1","Duplicate (2 instances collapsed to 1)"
"EA56111","C26111","Duplicate (3 instances collapsed to 1)"
"EA51220","C261220","Duplicate (3 instances collapsed to 1)"
"EA51397","C261397","Duplicate (2 instances collapsed to 1)"
