"elimfilters_sku","source_sku","segment","production_tier","missing_data_count","missing_components"
"EA52151","C2151","Air Filter","TIER_P5","1","Competitor"
"EA51560","C21560","Air Filter","TIER_P5","1","Competitor"
"EA55602","C21560/2","Air Filter","TIER_P5","1","Competitor"
"EA51570","C21570","Air Filter","TIER_P5","1","Competitor"
"EA52159","C2159","Air Filter","TIER_P5","1","Competitor"
"EA55902","C21590/2","Air Filter","TIER_P5","1","Competitor"
"EA52163","C2163","Air Filter","TIER_P5","1","Competitor"
"EA51631","C2163/1","Air Filter","TIER_P3","1","Applications"
"EA56303","C21630/3","Air Filter","TIER_P5","1","Competitor"
"EA52178","C2178","Air Filter","TIER_P5","1","Competitor"
"EA52180","C2180","Air Filter","TIER_P3","1","Applications"
"EA52192","C2192","Air Filter","TIER_P5","1","Competitor"
"EA52009","C22009","Air Filter","TIER_P5","1","Competitor"
"EA52201","C2201","Air Filter","TIER_P5","1","Competitor"
"EA52013","C22013","Air Filter","TIER_P5","1","Competitor"
"EA52014","C22014","Air Filter","TIER_P5","1","Competitor"
"EA52015","C22015","Air Filter","TIER_P5","1","Competitor"
"EA52016","C22016","Air Filter","TIER_P5","1","Competitor"
"EA52017","C22017","Air Filter","TIER_P4","1","OEM"
"EA52018","C22018","Air Filter","TIER_P5","1","Competitor"
"EA52020","C22020","Air Filter","TIER_P5","1","Competitor"
"EA52024","C22024","Air Filter","TIER_P5","1","Competitor"
"EA52026","C22026","Air Filter","TIER_P5","1","Competitor"
"EA52028","C22028","Air Filter","TIER_P5","1","Competitor"
"EA52029","C22029","Air Filter","TIER_P5","1","Competitor"
"EA52031","C22031","Air Filter","TIER_P5","1","Competitor"
"EA52032","C22032","Air Filter","TIER_P5","1","Competitor"
"EA52033","C22033","Air Filter","TIER_P4","1","OEM"
"EA50331","C22033/1","Air Filter","TIER_P5","1","Competitor"
"EA52035","C22035","Air Filter","TIER_P5","1","Competitor"
"EA52038","C22038","Air Filter","TIER_P5","1","Competitor"
"EA52039","C22039","Air Filter","TIER_P5","1","Competitor"
"EA52057","C22057","Air Filter","TIER_P5","1","Competitor"
"EA52060","C22060","Air Filter","TIER_P5","1","Competitor"
"EA52062","C22062","Air Filter","TIER_P5","1","Competitor"
"EA52115","C22115","Air Filter","TIER_P5","1","Competitor"
"EA52117","C22117","Air Filter","TIER_P5","1","Competitor"
"EA52212","C2212","Air Filter","TIER_P5","1","Competitor"
"EA52120","C22120","Air Filter","TIER_P5","1","Competitor"
"EA52214","C2214","Air Filter","TIER_P5","1","Competitor"
"EA52219","C2219","Air Filter","TIER_P5","1","Competitor"
"EA52223","C2223","Air Filter","TIER_P5","1","Competitor"
"EA52226","C2226","Air Filter","TIER_P5","1","Competitor"
"EA52267","C22267","Air Filter","TIER_P5","1","Competitor"
"EA52229","C2229","Air Filter","TIER_P5","1","Competitor"
"EA52233","C2233","Air Filter","TIER_P5","1","Competitor"
"EA52331","C2233/1","Air Filter","TIER_P5","1","Competitor"
"EA52337","C22337X","Air Filter","TIER_P5","1","Competitor"
"EA52240","C2240","Air Filter","TIER_P5","1","Competitor"
"EA52431","C2243/1","Air Filter","TIER_P5","1","Competitor"
"EA52244","C2244","Air Filter","TIER_P5","1","Competitor"
"EA52245","C2245","Air Filter","TIER_P5","1","Competitor"
"EA52478","C22478","Air Filter","TIER_P4","1","OEM"
"EA54781","C22478/1","Air Filter","TIER_P5","1","Competitor"
"EA52562","C2256/2","Air Filter","TIER_P5","1","Competitor"
"EA55801","C22580/1","Air Filter","TIER_P5","1","Competitor"
"EA52262","C2262","Air Filter","TIER_P5","1","Competitor"
"EA52263","C2263","Air Filter","TIER_P5","1","Competitor"
"EA52282","C2282","Air Filter","TIER_P5","1","Competitor"
"EA52835","C22835","Air Filter","TIER_P5","1","Competitor"
"EA52287","C2287","Air Filter","TIER_P5","1","Competitor"
"EA52290","C2290","Air Filter","TIER_P5","1","Competitor"
"EA52295","C2295","Air Filter","TIER_P5","1","Competitor"
"EA52952","C2295/2","Air Filter","TIER_P5","1","Competitor"
"EA53004","C23004","Air Filter","TIER_P5","1","Competitor"
"EA53005","C23005","Air Filter","TIER_P5","1","Competitor"
"EA53006","C23006","Air Filter","TIER_P5","1","Competitor"
"EA53008","C23008","Air Filter","TIER_P4","1","OEM"
"EA53011","C23011","Air Filter","TIER_P5","1","Competitor"
"EA53012","C23012","Air Filter","TIER_P5","1","Competitor"
"EA53013","C23013","Air Filter","TIER_P5","1","Competitor"
"EA53018","C23018","Air Filter","TIER_P5","1","Competitor"
"EA53030","C23030","Air Filter","TIER_P5","1","Competitor"
"EA53031","C23031","Air Filter","TIER_P5","1","Competitor"
"EA53033","C23033","Air Filter","TIER_P2","1","Specifications"
"EA53041","C23041","Air Filter","TIER_P5","1","Competitor"
"EA50551","C23055/1","Air Filter","TIER_P5","1","Competitor"
"EA53064","C23064","Air Filter","TIER_P5","1","Competitor"
"EA53091","C23091","Air Filter","TIER_P5","1","Competitor"
"EA53094","C23094","Air Filter","TIER_P5","1","Competitor"
"EA53107","C23107","Air Filter","TIER_P5","1","Competitor"
"EA53109","C23109","Air Filter","TIER_P5","1","Competitor"
"EA53115","C23115","Air Filter","TIER_P5","1","Competitor"
"EA53124","C23124","Air Filter","TIER_P5","1","Competitor"
"EA53129","C23129","Air Filter","TIER_P5","1","Competitor"
"EA53148","C23148","Air Filter","TIER_P5","1","Competitor"
