make,application_count,sku_count
BRITISH JEFFREY DIAMOND,7,4
COMBILIFT,7,4
FSM POLEN,7,4
MERCEDES-BENZ BUSES (MX),7,4
TRIUMPH (USA),7,4
重汽王牌 / CNHTC CDW TRUCK,7,4
OLTCIT,7,3
ROTTNE,7,3
ZHONGHUA (BRILLIANCE),7,3
广汽乘用车 (中国) / GAC MOTOR (CN),7,3
FENWICK,7,2
MAZDA (USA),7,2
宝骏 (上汽通用五菱) / BAOJUN (SGMW),7,1
玉柴发动机 / YUCHAI ENGINE,7,1
BAUER,6,6
HELI,6,6
BUEHRER TRAKTOREN,6,5
VENIERI,6,5
ETEC BAGGER,6,4
KRUPP,6,4
SLANZI,6,4
FORD BUS,6,3
MMZ (MINSK MOTOR PLANT),6,3
UZ-DAEWOO,6,3
KONVEKTA,6,2
LIMB,6,2
BALKANCAR,6,1
FAMSA,6,1
MITSUBISHI (USA),6,1
Stewart & Stevenson,6,1
SUZUKI MARINE,6,1
开山 / KAITEC,6,1
路虎(奇瑞捷豹路虎) / LAND ROVER(JLR),6,1
ASHOK LEYLAND,5,5
TROUILLET,5,5
WIESMANN,5,4
力帆汽车 (中国) / LIFAN (CN),5,4
重汽豪沃 / CNHTC HOWO TRUCK,5,4
BENMAC,5,3
RENK TRANSMISSION,5,3
林肯(长安林肯) / LINCOLN (CHANGAN),5,3
潍柴 / WEICHAI,5,3
重汽豪瀚 / CNHTC HAOHAN TRUCK,5,3
E.-ATV,5,2
HONDA ENGINES,5,2
一汽卡车 / FAW TRUCK,5,2
AC CAR GROUP LTD,5,1
BORGWARD,5,1
BYD,5,1
FORD (USA) (JP),5,1
NISSAN MARINE,5,1
TOHATSU MARINE,5,1
GREGOIRE,4,4
GRUAU MICROBUS,4,4
KAISER-Fahrzeugtechnik,4,4
MESSERSI,4,4
MST,4,4
SAMPO ROSENLEW,4,4
TAGAZ,4,4
极星 / POLESTAR (进口),4,4
AYATS BUSES,4,3
Develon,4,3
DONGNAN,4,3
HAGIE (Self-Propelled Sprayer),4,3
MOROOKA,4,3
P.V.R. Vacuum Pumps,4,3
WEBER MT,4,3
ARONA ENGINES,4,2
BARMEC RANGER,4,2
BITTER,4,2
DAEWOO,4,2
DAVEY COMPRESSORS,4,2
HUSQVARNA (ATVs + Quads),4,2
LORRAINE (PLAXTON),4,2
MAFERSA,4,2
MG (USA),4,2
STEIGER,4,2
TAYLOR MACHINE,4,2
TIGERCAT,4,2
ZANELLO,4,2
克莱斯勒(北京奔驰) / CHRYSLER (BBDC),4,2
大运重卡 / DAYUN,4,2
GILERA,4,1
JOHNSON MARINE,4,1
LAVERDA (MOTORBIKE),4,1
RUSTON HORNSBY/PAXMAN,4,1
奥迪 (上汽奥迪) / AUDI (SAIC),4,1
海马 / HAIMA,4,1
英格索兰 / INGERSOLL-RAND,4,1
ALSTHOM,3,3
ARMATRAC,3,3
BERTOLINI,3,3
BETICO,3,3
BUEHLER,3,3
EBERSPÄCHER SÜTRAK,3,3
EL DETALLE,3,3
VALMET MARINE ENGINES (SISU),3,3
北京越野/BAIC-ORV,3,3
福田 (中国) / FOTON (CN),3,3
重汽发动机 / CNHTC Engine,3,3
龙工 / LONKING,3,3
APACHE,3,2
ASIA MOTORS,3,2
BAUTZ,3,2
HURTH MARINE TRANSMISSION,3,2
华泰 (中国) / HUATAI (CN),3,2
日产(郑州日产) / NISSAN(ZHENGZHOU.N),3,2
猎豹 (中国) / LIEBAO (CN),3,2
理念/EVERUS,3,2
AKSA,3,1
BASAK TRACTORS,3,1
GURGEL,3,1
KIENER,3,1
Knox Kershaw,3,1
LETOURNEAU,3,1
OEAF (OESTERR. AUTOMOBILFABR.),3,1
PININFARINA,3,1
TOYOTA (JP),3,1
TRABANT,3,1
三菱 (东南) / MITSUBISHI (DONGNAN),3,1
上汽大通/MAXUS,3,1
中国重汽VGV / VGV,3,1
北奔重卡 / BEIBEN TRUCK,3,1
江淮卡车/JAC TRUCK,3,1
瑞风 / REFINE,3,1
莲花汽车 / LOTUS (YOUNGMAN),3,1
重汽汕德卡 / CNHTC SITRAK TRUCK,3,1
风光 / FENGON,3,1
AGRALE-BUS,2,2
AILSA CRAIG / ALBIN,2,2
BAUDOUIN,2,2
BHARATBENZ,2,2
BUCYRUS-ERIE,2,2
EWK-EISENWERKE KAISERSLAUTERN,2,2
FIAT POWERTRAIN (FTP),2,2
FICHTEL & SACHS,2,2
HERKULES (TELSNIG),2,2
JCB GENERATORS,2,2
KATO IMER,2,2
NORDBERG,2,2
OTOSAN,2,2
PAUNY ZANELLO,2,2
PPM,2,2
SHIBAURA,2,2
VEB (IFA) FAHRZEUGWERKE,2,2
VETTER,2,2
VOLVO EICHER (VECV),2,2
ZANELLA,2,2
住友 / SUMITOMO,2,2
庆铃五十铃/ISUZU (QINGLING),2,2
江铃汽车(中国) / JIANGLING (CN),2,2
红旗 (一汽)/HONGQI,2,2
路特斯 / LOTUS (进口),2,2
BENELLI,2,1
DOMAIN INTERNATIONAL,2,1
GNUTTI,2,1
GRECAV,2,1
INTERNATIONAL HARVESTER,2,1
KUKJE MACHINERY,2,1
KYUNGWON,2,1
LIXIANG,2,1
MDI / YUTANI,2,1
OWATONNA,2,1
PRAMAC,2,1
RIVIAN,2,1
SATURN (USA),2,1
SPORTEQUIPE (DR),2,1
VW-PORSCHE,2,1
ZUENDAPP,2,1
上柴发动机 / SHANGHAI DIESEL ENGINE,2,1
东风小康 / DONGFENG XIAOKANG,2,1
东风风行 / FORTHING,2,1
几何汽车 / GEOMETRY,2,1
大连道依茨发动机/DEUTZ DALIAN ENGINE,2,1
奔腾 (一汽) / BESTURN (FAW) / BESTUNE,2,1
欧洲之星 (青年莲花) / EUROPESTAR,2,1
海格汽车/HIGER,2,1
英菲尼迪(东风) / INFINITI (DF),2,1
里其乐 / RIETSCHLE,2,1
ACE (ACTION CONSTR. EQUIPMENT),1,1
ACURA (USA),1,1
ASTARSA,1,1
BAJAJ,1,1
BERTONE,1,1
CHATENET AUTOMOBILES,1,1
CHINOOCK COMPRESSORS,1,1
DAELIM,1,1
DEERE (JOHN DEERE),1,1
DERWAYS,1,1
DEWULF,1,1
FRUEHAUF,1,1
FSD,1,1
GEHLMAX,1,1
GENESIS,1,1
HINDUSTAN MOTORS,1,1
HONDA (USA),1,1
ISH (ISHMACH RUSSIA),1,1
JDM (SIMPA-JDM),1,1
KNORR-BREMSE,1,1
KOEDEL & BOEHM,1,1
MANCINI,1,1
MANISCOPE,1,1
MARNA MOTOR AS,1,1
MEILI,1,1
MOTO GUZZI,1,1
OLDSMOBILE,1,1
PERLINI,1,1
PUMA,1,1
RELIANCE,1,1
SALEV,1,1
SATURN (GM),1,1
Teupen,1,1
TROLLER,1,1
TVR ENGINEERING LTD,1,1
TYM Tractors,1,1
UAZ,1,1
UNC,1,1
YAGMUR,1,1
ZINORO,1,1
一汽 (吉林) / FAW (JILIN),1,1
东风风度 / FENGDU,1,1
乐机 / ELGI,1,1
华菱汉马 / CAMC,1,1
厦工 / XGMA,1,1
坦克/TANK,1,1
巴博斯 (进口) / BRABUS,1,1
常林 / CHANGLIN,1,1
新宝骏(上汽通用五菱) / NEW BAOJUN (SGMW),1,1
枫叶汽车 / MAPLE,1,1
现代(华泰现代) / HYUNDAI (HUATAI.H),1,1
观致汽车 / QOROS,1,1
铃木(昌河铃木) / SUZUKI (CHANGHE.SU),1,1
飞凡汽车/R AUTO,1,1
